,pert_iname,clinical_phase,moa,target,disease_area,indication,moa_nsclc,moa_group
2446,flumequine,Launched,topoisomerase inhibitor,,infectious disease,urinary tract infections,Topoisomerase inhibitor,Topoisomerase inhibitor
2485,foretinib,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,,,VEGFR inhibitor,Angiogenesis / VEGF axis
2494,fosbretabulin,Phase 3,tubulin polymerization inhibitor|VE-cadherin antagonist,CDH5,,,Microtubule inhibitor,Mitotic / cell-cycle
2522,fruquintinib,Launched,VEGFR inhibitor,KDR,oncology,colorectal cancer,VEGFR inhibitor,Angiogenesis / VEGF axis
2524,ftorafur,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,Thymidylate synthase inhibitor,DNA damage & repair
2541,futibatinib,Phase 3,FGFR inhibitor,,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2576,garenoxacin,Launched,topoisomerase inhibitor,TOP2A,infectious disease,respiratory tract infections,Topoisomerase inhibitor,Topoisomerase inhibitor
2584,GDC-0077,Phase 1,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
2585,GDC-0084,Phase 2,mTOR inhibitor|PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
2589,GDC-0623,Phase 1,MEK inhibitor,,,,MEK inhibitor,MAPK (RAF→MEK)
2592,GDC-0879,Preclinical,RAF inhibitor,BRAF,,,RAF inhibitor,MAPK (RAF→MEK)
2594,GDC-0941,Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
2595,GDC-0980,Phase 2,mTOR inhibitor|PI3K inhibitor,FGR|MAP3K9|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|SYK,,,PI3K inhibitor,PI3K–AKT–mTOR
2599,gefitinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2614,genz-644282,Phase 1,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
2617,gepotidacin,Phase 2,topoisomerase inhibitor,,,,Topoisomerase inhibitor,Topoisomerase inhibitor
2631,ginsenoside-RE3,Launched,angiogenesis inhibitor|apoptosis stimulant,KCNH2,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
2632,givinostat,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,HDAC inhibitor,HDAC inhibitor
2670,golvatinib,Phase 2,VEGFR inhibitor,KDR|MET,,,VEGFR inhibitor,Angiogenesis / VEGF axis
2694,griseofulvin,Launched,tubulin polymerization inhibitor,KRT12,infectious disease,ringworm|tinea pedis,Microtubule inhibitor,Mitotic / cell-cycle
2710,GSK1059615,Phase 1,PI3K inhibitor,PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
2719,GSK2126458,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
2732,GSK2636771,Phase 2,PI3K inhibitor,PIK3CB,,,PI3K inhibitor,PI3K–AKT–mTOR
2744,GSK3117391,Phase 1/Phase 2,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
2787,GW-5074,Phase 1/Phase 2,leucine rich repeat kinase inhibitor|RAF inhibitor,NTRK1|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
2789,GW-583340,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2793,GW-788388,Preclinical,ALK tyrosine kinase receptor inhibitor,LCK|MAPK14|TGFBR1,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2833,hepsulfam,Preclinical,DNA cross-linking,,,,Alkylating / Cross-linking agent,DNA damage & repair
2835,HER2-Inhibitor-1,Preclinical,EGFR inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2856,HKI-357,Phase 1,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2916,hypoxanthine,Preclinical,PARP inhibitor,PNP,,,PARP inhibitor,DNA damage & repair
2962,icotinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
2968,idarubicin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML),Topoisomerase inhibitor,Topoisomerase inhibitor
2972,idelalisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,chronic lymphocytic leukemia (CLL),PI3K inhibitor,PI3K–AKT–mTOR
2983,ifosfamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis,Alkylating / Cross-linking agent,DNA damage & repair
3016,INC-280,Phase 3,c-Met inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3028,indibulin,Phase 1/Phase 2,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
3048,iniparib,Phase 3,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
3080,IPI549,Phase 2,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
3089,irinotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,colorectal cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
3152,ixabepilone,Launched,microtubule stabilizing agent,TUBB,oncology,breast cancer,Microtubule inhibitor,Mitotic / cell-cycle
3168,JNJ-26481585,Phase 2,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|MDM2,,,HDAC inhibitor,HDAC inhibitor
3173,JNJ-38877618,Phase 1,c-Met inhibitor,,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3211,karenitecin,Phase 3,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
3228,KG-5,Preclinical,RAF inhibitor,BRAF|FLT3|KIT|PDGFRB,,,RAF inhibitor,MAPK (RAF→MEK)
3235,KI-8751,Preclinical,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
3252,KRN-633,Preclinical,VEGFR inhibitor,FLT1|FLT4|KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
3255,KU-0063794,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
3263,KX2-391,Phase 3,SRC inhibitor|tubulin polymerization inhibitor,SRC,,,Microtubule inhibitor,Mitotic / cell-cycle
3334,lapatinib,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3367,leniolisib,Phase 2/Phase 3,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
3368,lenvatinib,Launched,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT4|KDR,oncology,thyroid cancer,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3419,licochalcone-A,Phase 3,topoisomerase inhibitor,PTPN1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
3426,lifirafenib,Phase 1/Phase 2,RAF inhibitor,,,,RAF inhibitor,MAPK (RAF→MEK)
3439,linifanib,Phase 3,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK,,,VEGFR inhibitor,Angiogenesis / VEGF axis
3463,LMK-235,Preclinical,HDAC inhibitor,HDAC4|HDAC5,,,HDAC inhibitor,HDAC inhibitor
3488,lorlatinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3509,lucitanib,Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3525,LXH254,Phase 1,RAF inhibitor,,,,RAF inhibitor,MAPK (RAF→MEK)
3557,LY2801653,Phase 2,MET inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3564,LY294002,Preclinical,DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1,,,PI3K inhibitor,PI3K–AKT–mTOR
3567,LY3009120,Phase 1,RAF inhibitor,BRAF|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
3568,LY3023414,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR,,,PI3K inhibitor,PI3K–AKT–mTOR
3569,LY303511,Preclinical,casein kinase inhibitor|mTOR inhibitor|PI3K inhibitor,BRD2|BRD3|BRD4,,,PI3K inhibitor,PI3K–AKT–mTOR
3589,M-344,Preclinical,HDAC inhibitor,HDAC8,,,HDAC inhibitor,HDAC inhibitor
3629,MC1568,Preclinical,HDAC inhibitor,HDAC2,,,HDAC inhibitor,HDAC inhibitor
3639,mebendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,pinworm|whipworm|hookworm|ascariasis,Microtubule inhibitor,Mitotic / cell-cycle
3668,MEK1-2-inhibitor,Preclinical,MEK inhibitor,MAP2K2,,,MEK inhibitor,MAPK (RAF→MEK)
3676,melphalan,Launched,DNA alkylating agent|DNA inhibitor,,hematologic malignancy,multiple myeloma,Alkylating / Cross-linking agent,DNA damage & repair
3698,merbarone,Phase 2,topoisomerase inhibitor,TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
3702,Merck60,Preclinical,HDAC inhibitor,HDAC1|HDAC2,,,HDAC inhibitor,HDAC inhibitor
3706,mertansine,Phase 2,microtubule inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
3790,ME0328,Preclinical,PARP inhibitor,PARP3,,,PARP inhibitor,DNA damage & repair
3794,MGCD-265,Preclinical,VEGFR inhibitor,AXL|MET,,,VEGFR inhibitor,Angiogenesis / VEGF axis
3835,mitomycin-C,Launched,DNA alkylating agent|DNA synthesis inhibitor,,oncology,pancreatic cancer|gastric adenocarcinoma,Alkylating / Cross-linking agent,DNA damage & repair
3838,mitoxantrone,Launched,topoisomerase inhibitor,TOP2A,neurology/psychiatry|oncology|hematologic malignancy,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML),Topoisomerase inhibitor,Topoisomerase inhibitor
3841,mivobulin,Phase 2,microtubule inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
3859,MK-2461,Phase 1/Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|MERTK|MET|MST1R|NTRK1|NTRK2|PDGFRB,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3870,MK-8033,Phase 1,c-Met inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3878,MLN0128,Phase 2,mTOR inhibitor,MTOR|PIK3CA|PIK3CD|PIK3CG,,,mTOR inhibitor,PI3K–AKT–mTOR
3879,MLN1117,Phase 2,PI3K inhibitor,PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
3880,MLN2480,Phase 1/Phase 2,RAF inhibitor,,,,RAF inhibitor,MAPK (RAF→MEK)
3903,ML347,Preclinical,ALK tyrosine kinase receptor inhibitor,ACVR1|ACVRL1|BMPR1A,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
3906,ML786,Preclinical,RAF inhibitor,BRAF|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
3916,mocetinostat,Phase 2,HDAC inhibitor,HDAC1|HDAC11|HDAC2|HDAC3,,,HDAC inhibitor,HDAC inhibitor
3930,monepantel,Preclinical,mTOR inhibitor,,,,mTOR inhibitor,PI3K–AKT–mTOR
3948,motesanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT1|FLT4|KDR|KIT,,,VEGFR inhibitor,Angiogenesis / VEGF axis
4041,naquotinib,Phase 3,EGFR inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4085,nemorubicin,Phase 2,topoisomerase inhibitor,TOP1|TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
4093,neratinib,Launched,EGFR inhibitor,EGFR|ERBB2|KDR,oncology,breast cancer,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4103,nexturastat-A,Preclinical,HDAC inhibitor,HDAC1|HDAC6,,,HDAC inhibitor,HDAC inhibitor
4145,nimustine,Launched,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
4148,nintedanib,Launched,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,pulmonary,idiopathic pulmonary fibrosis (IPF),FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4149,niraparib,Launched,PARP inhibitor,PARP1,oncology,primary peritoneal cancer (PPC),PARP inhibitor,DNA damage & repair
4186,nobiletin,Preclinical,MEK inhibitor,MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
4187,nocodazole,Preclinical,tubulin polymerization inhibitor,HPGDS,,,Microtubule inhibitor,Mitotic / cell-cycle
4188,nolatrexed,Phase 3,thymidylate synthase inhibitor,TYMS,,,Thymidylate synthase inhibitor,DNA damage & repair
4208,noscapine,Launched,bradykinin receptor antagonist|tubulin polymerization inhibitor,SIGMAR1,pulmonary,cough suppressant,Microtubule inhibitor,Mitotic / cell-cycle
4232,NSC-3852,Preclinical,HDAC inhibitor,HDAC1,,,HDAC inhibitor,HDAC inhibitor
4249,NU-1025,Preclinical,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
4252,NU-7026,Preclinical,DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor,PRKDC,,,PI3K inhibitor,PI3K–AKT–mTOR
4260,NVP-BEZ235,Phase 3,mTOR inhibitor|PI3K inhibitor,ATR|MTOR|PIK3CA|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
4261,NVP-BGJ398,Phase 3,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|KDR,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4264,NVP-BVU972,Preclinical,MET inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4268,NVP-TAE684,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4312,olaparib,Launched,PARP inhibitor,PARP1|PARP2,oncology,ovarian cancer,PARP inhibitor,DNA damage & repair
4323,olmutinib,Launched,Bruton's tyrosine kinase (BTK) inhibitor|EGFR inhibitor,BTK|EGFR,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4336,ombrabulin,Phase 3,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
4361,orantinib,Phase 3,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4384,OSI-027,Phase 1,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
4385,OSI-420,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4386,OSI-930,Phase 1,KIT inhibitor|VEGFR inhibitor,FLT1|KDR|KIT,,,VEGFR inhibitor,Angiogenesis / VEGF axis
4388,osimertinib,Launched,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4415,oxibendazole,Launched,tubulin polymerization inhibitor,TUBB|TUBB4B,infectious disease,strongyles,Microtubule inhibitor,Mitotic / cell-cycle
4450,paclitaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC),Microtubule inhibitor,Mitotic / cell-cycle
4459,palifosfamide,Phase 3,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
4465,palomid-529,Phase 1,AKT inhibitor|mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
4471,pamiparib,Phase 3,PARP inhibitor,,,,PARP inhibitor,DNA damage & repair
4474,panobinostat,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,multiple myeloma,HDAC inhibitor,HDAC inhibitor
4486,parbendazole,Preclinical,tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
4497,parsaclisib,Phase 2,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
4504,pazopanib,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,oncology,renal cell carcinoma (RCC)|soft tissue sarcoma (STS),VEGFR inhibitor,Angiogenesis / VEGF axis
4505,pazufloxacin,Launched,topoisomerase inhibitor,,infectious disease,pneumonia|peritonitis|bacterial septicemia,Topoisomerase inhibitor,Topoisomerase inhibitor
4509,PCI-24781,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6,,,HDAC inhibitor,HDAC inhibitor
4512,PCI-34051,Preclinical,HDAC inhibitor,HDAC1|HDAC10|HDAC6|HDAC8,,,HDAC inhibitor,HDAC inhibitor
4514,PD-0325901,Phase 2,MEK inhibitor,MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
4519,PD-153035,Phase 1,EGFR inhibitor,EGFR|KDR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4521,PD-158780,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4523,PD-161570,Preclinical,FGFR inhibitor,FGFR1,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4527,PD-168393,Preclinical,EGFR inhibitor,EGFR|ERBB2|SRC,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4529,PD-173074,Preclinical,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4531,PD-184352,Phase 2,MEK inhibitor,MAP2K1|MAP3K1|MAP3K2,,,MEK inhibitor,MAPK (RAF→MEK)
4532,PD-198306,Preclinical,MAP kinase inhibitor|MEK inhibitor,MAP2K1|MAP2K2,,,MEK inhibitor,MAPK (RAF→MEK)
4533,PD-318088,Preclinical,MEK inhibitor,,,,MEK inhibitor,MAPK (RAF→MEK)
4536,PD-98059,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,,,MEK inhibitor,MAPK (RAF→MEK)
4544,pelitinib,Phase 2,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4547,pemetrexed,Launched,dihydrofolate reductase inhibitor|thymidylate synthase inhibitor,ATIC|DHFR|GART|TYMS,oncology,non-small cell lung cancer (NSCLC)|mesothelioma,Thymidylate synthase inhibitor,DNA damage & repair
4596,PF-04217903,Phase 1,c-Met inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4601,PF-04691502,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
4609,PF-05212384,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
4618,PF-06463922,Launched,ALK tyrosine kinase receptor inhibitor,ALK|FES|ROS1,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4621,PF-06747775,Phase 2,EGFR inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4653,PHA-665752,Preclinical,c-Met inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4687,phenylbutyrate,Launched,HDAC inhibitor,HDAC1,metabolism,urea cycle disorders,HDAC inhibitor,HDAC inhibitor
4708,PI-103,Preclinical,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,PI3K inhibitor,PI3K–AKT–mTOR
4709,PI-828,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
4726,PIK-293,Preclinical,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
4727,PIK-294,Preclinical,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
4728,PIK-75,Preclinical,DNA protein kinase inhibitor|PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,,,PI3K inhibitor,PI3K–AKT–mTOR
4729,PIK-93,Preclinical,PI3K inhibitor,PI4KB|PIK3C3|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
4732,pilaralisib,Phase 2,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
4755,pipemidic-acid,Launched,topoisomerase inhibitor,,infectious disease,gram-negative bacterial infections,Topoisomerase inhibitor,Topoisomerase inhibitor
4765,pipobroman,Launched,DNA alkylating agent,,hematology,polycythemia vera|thrombocythemia,Alkylating / Cross-linking agent,DNA damage & repair
4770,pirarubicin,Launched,topoisomerase inhibitor,TOP2A,oncology,breast cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
4793,pivanex,Phase 2,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC8,,,HDAC inhibitor,HDAC inhibitor
4795,pixantrone,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,non-Hodgkin lymphoma (NHL),Topoisomerase inhibitor,Topoisomerase inhibitor
4797,PI3K-IN-2,Phase 2,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
4798,PI3Kd-IN-2,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
4800,PJ-34,Preclinical,PARP inhibitor,EEF2|PARP1|PARP15|PARP3,,,PARP inhibitor,DNA damage & repair
4804,PKI-166,Phase 1,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4805,PKI-179,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR,,,PI3K inhibitor,PI3K–AKT–mTOR
4809,plinabulin,Phase 3,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
4813,PLX4720,Preclinical,RAF inhibitor,BRAF|KDR,,,RAF inhibitor,MAPK (RAF→MEK)
4827,podophyllotoxin,Launched,microtubule inhibitor|tubulin polymerization inhibitor,IGF1R|TOP2A|TUBA4A|TUBB,infectious disease,genital warts,Microtubule inhibitor,Mitotic / cell-cycle
4834,pomalidomide,Launched,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,hematologic malignancy,multiple myeloma,Angiogenesis inhibitor,Angiogenesis / VEGF axis
4842,poziotinib,Phase 2,EGFR inhibitor,EGFR|ERBB2|ERBB4,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
4848,PP242,Preclinical,mTOR inhibitor,MTOR|PASK,,,mTOR inhibitor,PI3K–AKT–mTOR
4994,pyrazoloacridine,Phase 2,topoisomerase inhibitor,TOP1|TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
5007,pyroxamide,Phase 1,HDAC inhibitor,HDAC1,,,HDAC inhibitor,HDAC inhibitor
5053,RAF265,Phase 2,RAF inhibitor|VEGFR inhibitor,BRAF,,,RAF inhibitor,MAPK (RAF→MEK)
5054,RAF709,Preclinical,RAF inhibitor,,,,RAF inhibitor,MAPK (RAF→MEK)
5058,raltitrexed,Launched,thymidylate synthase inhibitor,FPGS|TYMS,oncology,mesothelioma,Thymidylate synthase inhibitor,DNA damage & repair
5074,rebastinib,Phase 1/Phase 2,Bcr-Abl kinase inhibitor|TIE tyrosine kinase inhibitor|VEGFR inhibitor,ABL1|BCR|FGR|FLT3|HCK|LYN|SRC,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5077,refametinib,Phase 2,MEK inhibitor,MAP2K1|MAP2K2,,,MEK inhibitor,MAPK (RAF→MEK)
5084,remetinostat,Phase 2,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
5097,resminostat,Phase 2,HDAC inhibitor,HDAC1|HDAC3|HDAC6|HDAC8,,,HDAC inhibitor,HDAC inhibitor
5115,RGFP966,Preclinical,HDAC inhibitor,HDAC3,,,HDAC inhibitor,HDAC inhibitor
5118,RG1530,Phase 1,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5119,RG2833,Phase 1,HDAC inhibitor,HDAC1|HDAC3,,,HDAC inhibitor,HDAC inhibitor
5194,Ro-4987655,Phase 1,MEK inhibitor,MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
5196,Ro-5126766,Phase 1,MEK inhibitor|RAF inhibitor,BRAF|MAP2K1|MAP2K2|RAF1,,,MEK inhibitor,MAPK (RAF→MEK)
5204,roblitinib,Preclinical,FGFR inhibitor,,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
